Time (min),Force (N),Position (mm)
1.667E-05,0.19286,0.000
0.0009950,0.17857,0.000
0.001973,0.13571,0.000
0.002952,0.085714,0.000
0.003930,0.087229,0.000
0.004908,0.21061,4.850E-05
0.005886,0.23831,0.0004000
0.006865,0.39286,0.001100
0.007843,0.74286,0.002200
0.008821,1.0935,0.003800
0.009800,2.2494,0.005597
0.01078,3.2214,0.007200
0.01176,4.3357,0.008700
0.01273,5.2446,0.01011
0.01371,6.2840,0.01160
0.01469,7.2240,0.01290
0.01567,8.2736,0.01430
0.01665,9.2500,0.01560
0.01763,10.136,0.01690
0.01860,11.173,0.01812
0.01958,12.191,0.01940
0.02056,13.113,0.02066
0.02154,13.881,0.02190
0.02252,14.565,0.02320
0.02350,15.527,0.02450
0.02447,16.096,0.02580
0.02545,16.695,0.02711
0.02643,17.227,0.02840
0.02741,17.697,0.02980
0.02839,18.186,0.03110
0.02937,18.721,0.03240
0.03034,19.130,0.03370
0.03132,19.416,0.03493
0.03230,19.971,0.03630
0.03328,20.483,0.03757
0.03426,20.956,0.03880
0.03523,21.508,0.04020
0.03621,21.913,0.04140
0.03719,22.471,0.04260
0.03817,22.975,0.04392
0.03915,23.349,0.04520
0.04013,23.738,0.04650
0.04110,24.100,0.04770
0.04208,24.443,0.04900
0.04306,25.071,0.05020
0.04404,25.453,0.05150
0.04502,26.315,0.05280
0.04600,26.670,0.05408
0.04697,27.317,0.05535
0.04795,28.086,0.05660
0.04893,28.547,0.05790
0.04991,29.279,0.05915
0.05089,29.779,0.06040
0.05187,30.629,0.06160
0.05284,31.355,0.06296
0.05382,32.062,0.06423
0.05480,33.008,0.06560
0.05578,33.777,0.06680
0.05676,34.913,0.06810
0.05774,36.030,0.06931
0.05871,37.486,0.07060
0.05969,39.347,0.07185
0.06067,41.547,0.07310
0.06165,44.496,0.07440
0.06263,48.145,0.07570
0.06361,52.005,0.07693
0.06458,56.229,0.07820
0.06556,60.311,0.07947
0.06654,64.637,0.08070
0.06752,69.206,0.08200
0.06850,73.728,0.08330
0.06947,78.253,0.08460
0.07045,83.076,0.08590
0.07143,88.228,0.08720
0.07241,93.098,0.08846
0.07339,98.353,0.08970
0.07437,103.61,0.09100
0.07534,108.72,0.09220
0.07632,114.70,0.09350
0.07730,120.56,0.09470
0.07828,126.52,0.09600
0.07926,132.87,0.09730
0.08024,139.16,0.09860
0.08121,145.62,0.09980
0.08219,152.49,0.1012
0.08317,159.50,0.1024
0.08415,166.15,0.1037
0.08513,172.87,0.1050
0.08611,180.59,0.1062
0.08708,187.76,0.1075
0.08806,195.07,0.1088
0.08904,202.77,0.1100
