Setting,Mass_g
2.00,0.00215
2.00,0.00221
2.00,0.00216
2.00,0.00222
2.00,0.00201
10.00,0.00974
10.00,0.00987
10.00,0.00983
10.00,0.00972
10.00,0.00979
15.00,0.01456
15.00,0.01477
15.00,0.01449
15.00,0.01482
15.00,0.01442
5.00,0.00496
5.00,0.00510
5.00,0.00507
5.00,0.00501
5.00,0.00511
7.50,0.00723
7.50,0.00740
7.50,0.00714
7.50,0.00714
7.50,0.00710
12.50,0.01257
12.50,0.01209
12.50,0.01188
12.50,0.01235
12.50,0.01218
17.50,0.01706
17.50,0.01678
17.50,0.01720
17.50,0.01690
17.50,0.01702
20.00,0.0193
20.00,0.01927
20.00,0.01952
20.00,0.01927
20.00,0.01941
