Setting,Mass_g
2.00,0.00203
2.00,0.00219
2.00,0.00198
2.00,0.00194
2.00,0.00198
1.50,0.00151
1.50,0.00153
1.50,0.00156
1.50,0.00150
1.50,0.00146
1.00,0.00098
1.00,0.00102
1.00,0.00099
1.00,0.00108
1.00,0.00097
0.50,0.00036
0.50,0.00058
0.50,0.00047
0.50,0.00062
0.50,0.00055
0.677,0.00065
0.677,0.00066
0.677,0.00073
0.677,0.00076
0.677,0.00081
1.312,0.00127
1.312,0.00126
1.312,0.00129
1.312,0.00135
1.312,0.00146
1.312,0.00124
1.312,0.00132
1.435,0.00140
1.435,0.00137
1.435,0.00135
1.435,0.00128
1.598,0.00147
1.598,0.00153
1.598,0.00161
1.598,0.00158
1.598,0.00163
0.801,0.00089
0.801,0.00095
0.801,0.00071
0.801,0.00088
0.801,0.00089
0.801,0.00082
0.801,0.00091
1.097,0.00107
1.097,0.00113
1.097,0.00117
1.097,0.00112
1.097,0.00124
1.691,0.00157
1.691,0.00167
1.691,0.00161
1.691,0.00171
1.691,0.00172
1.890,0.00179
1.890,0.00160
1.890,0.00179
1.890,0.00190
1.890,0.00173
1.890,0.00198
1.890,0.00194
1.890,0.00175
