Time (min),Force (N),Position (mm)
1.67E-05,0.271,-0.000200
0.00212,0.257,-0.000200
0.00423,0.371,-0.000200
0.00634,0.261,-0.000100
0.00845,0.479,0.00150
0.0106,1.20,0.00430
0.0127,1.88,0.00680
0.0148,2.54,0.00920
0.0169,3.50,0.0114
0.0190,4.46,0.0135
0.0211,5.71,0.0157
0.0232,7.09,0.0177
0.0253,8.74,0.0199
0.0274,10.8,0.0220
0.0295,12.9,0.0241
0.0316,15.5,0.0262
0.0337,18.2,0.0283
0.0359,21.2,0.0304
0.0380,24.4,0.0325
0.0401,27.8,0.0347
0.0422,31.7,0.0368
0.0443,35.6,0.0389
0.0464,40.0,0.0410
0.0485,44.4,0.0431
0.0506,49.2,0.0453
0.0527,54.0,0.0473
0.0548,59.2,0.0494
0.0569,64.3,0.0515
0.0590,70.0,0.0537
0.0611,75.8,0.0557
0.0633,81.9,0.0579
0.0654,88.1,0.0600
0.0675,94.5,0.0621
0.0696,101,0.0642
0.0717,108,0.0663
0.0738,115,0.0684
0.0759,123,0.0705
0.0780,131,0.0727
0.0801,138,0.0747
0.0822,146,0.0769
0.0843,155,0.0790
0.0864,164,0.0810
0.0886,172,0.0831
0.0907,182,0.0852
0.0928,191,0.0873
0.0949,201,0.0895
0.0970,211,0.0916
0.0991,221,0.0937
0.101,232,0.0958
0.103,242,0.0979
0.105,253,0.100
0.108,264,0.102
0.110,276,0.104
0.112,287,0.106
0.114,299,0.108
0.116,311,0.111
0.118,323,0.113
0.120,335,0.115
0.122,348,0.117
0.124,361,0.119
0.126,374,0.121
0.129,387,0.123
0.131,400,0.125
0.133,413,0.127
0.135,427,0.130
0.137,441,0.132
0.139,454,0.134
0.141,469,0.136
0.143,483,0.138
0.145,498,0.140
0.148,513,0.142
0.150,528,0.144
0.152,543,0.146
0.154,559,0.149
0.156,575,0.151
0.158,591,0.153
0.160,607,0.155
0.162,624,0.157
0.164,641,0.159
0.167,658,0.161
0.169,676,0.163
0.171,693,0.165
0.173,712,0.168
0.175,730,0.170
0.177,749,0.172
0.179,768,0.174
0.181,787,0.176
0.183,807,0.178
0.186,826,0.180
0.188,847,0.182
0.190,867,0.184
0.192,888,0.187
0.194,909,0.189
0.196,930,0.191
0.198,952,0.193
0.200,973,0.195
0.202,995,0.197
0.204,1020,0.199
0.207,1040,0.201
0.209,1060,0.203
0.211,1090,0.205
0.213,1110,0.208
0.215,1130,0.210
0.217,1150,0.212
0.219,1180,0.214
0.221,1200,0.216
0.223,1230,0.218
0.226,1250,0.220
0.228,1270,0.222
0.230,1300,0.224
0.232,1320,0.227
0.234,1350,0.229
0.236,1370,0.231
0.238,1400,0.233
0.240,1420,0.235
0.242,1450,0.237
0.245,1470,0.239
0.247,1500,0.241
0.249,1520,0.243
0.251,1550,0.246
0.253,1570,0.248
0.255,1600,0.250
0.257,1630,0.252
0.259,1650,0.254
0.261,1680,0.256
0.264,1700,0.258
0.266,1730,0.260
0.268,1760,0.262
0.270,1780,0.264
0.272,1810,0.267
0.274,1840,0.269
0.276,1860,0.271
0.278,1890,0.273
0.280,1920,0.275
0.282,1950,0.277
0.285,1970,0.279
0.287,2000,0.281
0.289,2030,0.284
0.291,2050,0.286
0.293,2080,0.288
0.295,2110,0.290
0.297,2140,0.292
0.299,2170,0.294
0.301,2190,0.296
0.304,2220,0.298
0.306,2250,0.301
0.308,2280,0.303
0.310,2310,0.305
0.312,2330,0.307
0.314,2360,0.309
0.316,2390,0.311
0.318,2420,0.313
0.320,2450,0.315
0.323,2480,0.317
0.325,2500,0.319
0.327,2530,0.322
0.329,2560,0.324
0.331,2590,0.326
0.333,2620,0.328
0.335,2650,0.330
0.337,2680,0.332
0.339,2710,0.334
0.342,2740,0.336
0.344,2760,0.338
0.346,2790,0.340
0.348,2820,0.343
0.350,2850,0.345
0.352,2880,0.347
0.354,2910,0.349
0.356,2940,0.351
0.358,2970,0.353
0.360,3000,0.355
0.363,3020,0.357
0.365,3050,0.360
0.367,3080,0.362
0.369,3110,0.364
0.371,3140,0.366
0.373,3170,0.368
0.375,3200,0.370
0.377,3230,0.372
0.379,3260,0.374
0.382,3290,0.376
0.384,3320,0.379
0.386,3350,0.381
0.388,3370,0.383
0.390,3400,0.385
0.392,3430,0.387
0.394,3460,0.389
0.396,3490,0.391
0.398,3520,0.393
0.401,3550,0.395
0.403,3580,0.398
0.405,3610,0.400
0.407,3640,0.402
0.409,3670,0.404
0.411,3700,0.406
0.413,3720,0.408
0.415,3750,0.410
0.417,3780,0.412
0.420,3810,0.414
0.422,3840,0.417
0.424,3870,0.419
0.426,3900,0.421
0.428,3930,0.423
0.430,3960,0.425
0.432,3980,0.427
0.434,4010,0.429
0.436,4040,0.431
0.438,4070,0.433
0.441,4100,0.435
0.443,4130,0.438
0.445,4160,0.440
0.447,4190,0.442
0.449,4220,0.444
0.451,4250,0.446
0.453,4270,0.448
0.455,4300,0.450
0.457,4330,0.452
0.460,4360,0.454
0.462,4390,0.456
0.464,4420,0.459
0.466,4450,0.461
0.468,4470,0.463
0.470,4500,0.465
0.472,4530,0.467
0.474,4560,0.469
0.476,4590,0.471
0.479,4620,0.473
0.481,4640,0.476
0.483,4670,0.478
0.485,4700,0.480
0.487,4730,0.482
0.489,4750,0.484
0.491,4780,0.486
0.493,4810,0.488
0.495,4840,0.490
0.498,4870,0.492
0.500,4890,0.494
0.502,4920,0.497
0.504,4950,0.499
0.506,4980,0.501
0.508,5000,0.503
0.510,5030,0.505
0.512,5060,0.507
0.514,5090,0.509
0.516,5110,0.511
0.519,5140,0.513
0.521,5170,0.516
0.523,5190,0.518
0.525,5220,0.520
0.527,5250,0.522
0.529,5270,0.524
0.531,5300,0.526
0.533,5330,0.528
0.535,5350,0.530
0.538,5380,0.532
0.540,5410,0.535
0.542,5430,0.537
0.544,5460,0.539
0.546,5480,0.541
0.548,5510,0.543
0.550,5540,0.545
0.552,5560,0.547
0.554,5590,0.549
0.557,5610,0.551
0.559,5640,0.554
0.561,5660,0.556
0.563,5690,0.558
0.565,5710,0.560
0.567,5740,0.562
0.569,5770,0.564
0.571,5790,0.566
0.573,5810,0.568
0.575,5840,0.570
0.578,5860,0.573
0.580,5890,0.575
0.582,5910,0.577
0.584,5940,0.579
0.586,5960,0.581
0.588,5980,0.583
0.590,6010,0.585
0.592,6030,0.587
0.594,6060,0.589
0.597,6080,0.592
0.599,6100,0.594
0.601,6130,0.596
0.603,6150,0.598
0.605,6170,0.600
0.607,6190,0.602
0.609,6220,0.604
0.611,6240,0.606
0.613,6260,0.608
0.616,6280,0.610
0.618,6310,0.613
0.620,6330,0.615
0.622,6350,0.617
0.624,6380,0.619
0.626,6400,0.621
0.628,6420,0.623
0.630,6440,0.625
0.632,6460,0.627
0.635,6480,0.630
0.637,6500,0.632
0.639,6530,0.634
0.641,6550,0.636
0.643,6570,0.638
0.645,6590,0.640
0.647,6610,0.642
0.649,6630,0.644
0.651,6650,0.646
0.653,6670,0.649
0.656,6690,0.651
0.658,6710,0.653
0.660,6730,0.655
0.662,6750,0.657
0.664,6770,0.659
0.666,6790,0.661
0.668,6810,0.663
0.670,6830,0.665
0.672,6850,0.667
0.675,6870,0.670
0.677,6890,0.672
0.679,6910,0.674
0.681,6920,0.676
0.683,6940,0.678
0.685,6960,0.680
0.687,6980,0.682
0.689,7000,0.684
0.691,7020,0.687
0.694,7040,0.689
0.696,7060,0.691
0.698,7070,0.693
0.700,7090,0.695
0.702,7110,0.697
0.704,7130,0.699
0.706,7140,0.701
0.708,7160,0.703
0.710,7180,0.705
0.713,7200,0.708
0.715,7220,0.710
0.717,7230,0.712
0.719,7250,0.714
0.721,7270,0.716
0.723,7280,0.718
0.725,7300,0.720
0.727,7320,0.722
0.729,7330,0.724
0.731,7350,0.727
0.734,7370,0.729
0.736,7380,0.731
0.738,7400,0.733
0.740,7420,0.735
0.742,7430,0.737
0.744,7450,0.739
0.746,7470,0.741
0.748,7480,0.743
0.750,7500,0.745
0.753,7510,0.748
0.755,7530,0.750
0.757,7540,0.752
